_id,restaurant_id,menu_item,price,category
c563d0a2-b121-4fda-9f9a-c0a2e0aa5e9b,507f1f77bcf86cd799439011,Chai 8oz,4.0,Uncategorized
e390ef2b-3697-4d2b-b1f3-d178d0f47f35,507f1f77bcf86cd799439011,Chai 12oz,4.5,Uncategorized
d247435c-da7c-4a54-b9dc-c878e1d5a1d9,507f1f77bcf86cd799439011,Chai 16oz,5.0,Uncategorized
c772f4cb-d327-42c5-9fd0-2a7b78406447,507f1f77bcf86cd799439011,Orange Juice 12oz,3.25,Uncategorized
81674306-3c9f-4c10-8e55-1dc2f1da1e62,507f1f77bcf86cd799439011,Orange Juice 16oz,3.5,Uncategorized
28517304-ecc9-4a9b-9a82-148626d25ca3,507f1f77bcf86cd799439011,London Fog 8oz,4.25,Uncategorized
7569de68-891f-406c-9c0c-47e09ffb0a1c,507f1f77bcf86cd799439011,London Fog 12oz,4.75,Uncategorized
39a7f84d-ec0b-41c7-abb6-31e52373f85f,507f1f77bcf86cd799439011,London Fog 16oz,5.25,Uncategorized
5faa4381-78c5-41ed-88f5-6d2cee020b17,507f1f77bcf86cd799439011,Matcha 8oz,5.5,Uncategorized
7a4e4bf3-d2d3-46b8-b64e-bf126c9d3991,507f1f77bcf86cd799439011,Matcha 12oz,6.0,Uncategorized
78700e02-28a3-4ce0-aba5-7765058011aa,507f1f77bcf86cd799439011,Matcha 16oz,6.5,Uncategorized
01cfff6f-5551-42fd-955f-f77dfe358d59,507f1f77bcf86cd799439011,Egg Cream 16oz,6.0,Uncategorized
07e561c7-0497-436d-8cae-4f6c460475d3,507f1f77bcf86cd799439011,Hot Tea 8oz,3.5,Uncategorized
949b83b7-15b1-423c-984e-64543afe0d6c,507f1f77bcf86cd799439011,Hot Tea 12oz,3.5,Uncategorized
d0b740d9-7f10-4210-ad49-7e86d0655780,507f1f77bcf86cd799439011,Hot Tea 16oz,3.5,Uncategorized
b16cfd76-10d0-4afa-9019-86332732f227,507f1f77bcf86cd799439011,Iced Tea 12oz,3.75,Uncategorized
0c7a6a28-99cd-4d09-9ed5-37dcb4729e3d,507f1f77bcf86cd799439011,Iced Tea 16oz,4.0,Uncategorized
505cff19-33c3-48ac-a11c-34ac6bcb1357,507f1f77bcf86cd799439011,San Pellegrino,2.75,Uncategorized
1a4947d0-56a7-499f-ab35-1ce7979b576d,507f1f77bcf86cd799439011,Bottled Water,2.0,Uncategorized
20862288-628c-42d6-90a6-8576029cd4e8,507f1f77bcf86cd799439011,Coke/Diet Coke,2.5,Uncategorized
cc74ff43-dbfb-4ef8-8937-1332f8265921,507f1f77bcf86cd799439011,Plain Bagel,2.25,Uncategorized
5e911476-2057-4d74-9d25-f8028a9ea005,507f1f77bcf86cd799439011,Cinnamon Currant Bagel,2.25,Uncategorized
9a71de94-6952-4ab8-a0e7-2d3355067cb6,507f1f77bcf86cd799439011,Maldon Salt Bagel,2.25,Uncategorized
e97e208c-0710-438f-b197-61e2d9af5f78,507f1f77bcf86cd799439011,Sesame Bagel,2.25,Uncategorized
d8127200-6743-4a28-adbd-e0659e8c1790,507f1f77bcf86cd799439011,Everything Bagel,2.25,Uncategorized
f42a4f7d-d4fc-44ac-abf4-335373997645,507f1f77bcf86cd799439011,Poppy Bagel,2.25,Uncategorized
236303ea-8354-4257-bb50-77b6a4ca4f61,507f1f77bcf86cd799439011,Pumpernickel Bagel,2.25,Uncategorized
2c27871f-65f3-4750-935c-75bc8cdd3da3,507f1f77bcf86cd799439011,Pumperthing Bagel,2.25,Uncategorized
b4aafb88-d442-4d1e-9db1-91ebf4860ac2,507f1f77bcf86cd799439011,ZA'ATAR Bagel,2.75,Uncategorized
006ee5b2-eace-4894-a939-5623a7e0fbe9,507f1f77bcf86cd799439011,JALAPENO CHEDDAR Bagel,2.75,Uncategorized
c840e045-2b84-4be1-a880-044657c88559,507f1f77bcf86cd799439011,Plain Schmear,2.75,Uncategorized
c97f33c4-ed91-452a-9fd5-9036105b16cd,507f1f77bcf86cd799439011,Dill & Black Pepper Schmear,3.0,Uncategorized
2248773a-3798-4dbd-b52e-21ae425004b0,507f1f77bcf86cd799439011,Scallion Schmear,3.0,Uncategorized
e4685f38-64f3-48f1-b273-05ad57ea239f,507f1f77bcf86cd799439011,Smoked Lox Schmear,5.0,Uncategorized
b8e739d9-9774-4833-a5b1-657c26ed86ac,507f1f77bcf86cd799439011,Seasonal Savory Schmear,3.5,Uncategorized
4f02de5e-7c0a-4d09-833f-b47030c021e8,507f1f77bcf86cd799439011,Seasonal Sweet Schmear,3.5,Uncategorized
45750f75-ae4d-4e61-acb2-5ee33c7b0089,507f1f77bcf86cd799439011,Vegan Plain (V) Schmear,3.0,Uncategorized
4f78feb9-76c3-4955-a0ee-ce30a92c20eb,507f1f77bcf86cd799439011,Vegan Seasonal (V) Schmear,3.0,Uncategorized
0411b3d6-0dbf-4795-af8b-58bda75dbe4c,507f1f77bcf86cd799439011,Latte 8oz,4.25,Uncategorized
8d1cac95-515b-4d29-959c-6789078c8394,507f1f77bcf86cd799439011,Latte 12oz,5.0,Uncategorized
b36864e0-3279-479b-8df2-91718882a0d9,507f1f77bcf86cd799439011,Latte 16oz,5.75,Uncategorized
f510be98-b436-43e7-bc4f-29b827a23af9,507f1f77bcf86cd799439011,Mocha 8oz,4.75,Uncategorized
1fe06d1b-1285-4f63-a07f-e7839546400f,507f1f77bcf86cd799439011,Mocha 12oz,5.5,Uncategorized
83fba06e-05dc-4b03-9b84-d446c6738787,507f1f77bcf86cd799439011,Mocha 16oz,6.25,Uncategorized
9c44a324-6022-4bdf-9d88-474e9d1c00fd,507f1f77bcf86cd799439011,Americano 8oz,3.75,Uncategorized
80125d3b-64bc-4846-adfc-917e02a526b2,507f1f77bcf86cd799439011,Americano 12oz,3.75,Uncategorized
b490a4ac-60b1-4979-ae0c-3509363f5603,507f1f77bcf86cd799439011,Americano 16oz,3.75,Uncategorized
2be14ee8-1700-4077-abc2-3c8dfa3a62ad,507f1f77bcf86cd799439011,Cappuccino 8oz,4.25,Uncategorized
